"nomeDisc","codigoDisc","turmaDisc","horarioDisc","professorDisc","deptoDisc"
"IMUNOLOGIA BASICA E APLICADA A FARMACIA","ACL011","21","TER 07:30-10:10,QUA 13:30-15:10","SIMONE APARECIDA REZENDE","DEACL"
"IMUNOLOGIA BASICA E APLICADA A FARMACIA","ACL011","22","TER 07:30-10:10,QUA 17:10-18:50","SIMONE APARECIDA REZENDE","DEACL"
"MICROBIOLOGIA GERAL APLICADA A FARMACIA","ACL012","31","QUA 13:30-17:00,SEX 13:30-15:10","LUIZ FERNANDO DE MEDEIROS TEIXEIRA","DEACL"
"MICROBIOLOGIA GERAL APLICADA A FARMACIA","ACL012","32","QUA 13:30-16:10,QUI 14:20-15:10,SEX 08:20-10:10","LUIZ FERNANDO DE MEDEIROS TEIXEIRA","DEACL"
"MICROBIOLOGIA GERAL APLICADA A FARMACIA","ACL012","33","QUA 13:30-16:10,QUI 13:30-14:20,SEX 15:20-17:00","LUIZ FERNANDO DE MEDEIROS TEIXEIRA","DEACL"
"PARASITOLOGIA HUMANA E CLINICA","ACL013","31","SEG 07:30-10:10,QUI 10:10-17:00","ALEXANDRE BARBOSA REIS","DEACL"
"PARASITOLOGIA HUMANA E CLINICA","ACL013","32","SEG 07:30-10:10,TER 13:30-16:10,QUI 10:10-12:00","ALEXANDRE BARBOSA REIS","DEACL"
"PARASITOLOGIA HUMANA E CLINICA","ACL013","33","SEG 07:30-10:10,QUI 10:10-12:00,SEX 09:20-12:00","","DEACL"
"BIOLOGIA MOLECULAR APLICADA A FARMACIA","ACL014","21","QUA 16:10-18:50,QUI 10:10-12:00","GLENDA NICIOLI DA SILVA","DEACL"
"BIOLOGIA MOLECULAR APLICADA A FARMACIA","ACL014","22","QUA 16:10-18:50,QUI 13:30-15:10","GLENDA NICIOLI DA SILVA","DEACL"
"HEMATOLOGIA CLINICA I","ACL015","31","QUA 10:10-12:00,SEX 10:10-14:20","WENDEL COURA VITAL","DEACL"
"HEMATOLOGIA CLINICA I","ACL015","32","QUA 10:10-12:00,SEX 10:10-17:00","WENDEL COURA VITAL","DEACL"
"HEMATOLOGIA CLINICA I","ACL015","33","QUA 10:10-12:00,SEX 10:10-15:10","WENDEL COURA VITAL","DEACL"
"ESTAGIO EM ANALISES CLINICAS I","ACL016","31","QUA 07:30-12:50","CARMEM APARECIDA DE PAULA,WENDEL COURA VITAL","DEACL"
"ESTAGIO EM ANALISES CLINICAS I","ACL016","32","QUI 07:30-12:50","CARMEM APARECIDA DE PAULA,WENDEL COURA VITAL","DEACL"
"ESTAGIO EM ANALISES CLINICAS I","ACL016","33","SEX 07:30-12:50","CARMEM APARECIDA DE PAULA,WENDEL COURA VITAL","DEACL"
"MICROBIOLOGIA HUMANA CLINICA","ACL017","31","QUA 15:20-17:00,QUI 07:30-10:10","LUIZ FERNANDO DE MEDEIROS TEIXEIRA","DEACL"
"MICROBIOLOGIA HUMANA CLINICA","ACL017","32","QUI 07:30-11:00,SEX 13:30-15:10","LUIZ FERNANDO DE MEDEIROS TEIXEIRA","DEACL"
"MICROBIOLOGIA HUMANA CLINICA","ACL017","33","QUA 13:30-15:10,QUI 07:30-12:00","LUIZ FERNANDO DE MEDEIROS TEIXEIRA","DEACL"
"ESTAGIO EM ANALISES CLINICAS II","ACL018","11","SAB 10:10-22:40","ANGELICA ALVES LIMA,GLENDA NICIOLI DA SILVA","DEACL"
"CITOLOGIA DO COLO DO UTERO","ACL401","21","SEG 08:20-12:00","CLAUDIA MARTINS CARNEIRO","DEACL"
"CITOLOGIA DO COLO DO UTERO","ACL401","22","SEG 08:20-15:10","CLAUDIA MARTINS CARNEIRO","DEACL"
"CITOLOGIA MAMARIA PULMONAR E DOS LIQUIDOS CAVITARIOS","ACL402","11","SEG 15:20-17:00","CLAUDIA MARTINS CARNEIRO","DEACL"
"BIOQUIMICA CLINICA II","ACL403","21","SEG 07:30-18:00","ANGELICA ALVES LIMA","DEACL"
"BIOQUIMICA CLINICA II","ACL403","22","SEG 07:30-19:50","ANGELICA ALVES LIMA","DEACL"
"HEMATOLOGIA CLINICA II","ACL404","21","QUI 10:10-12:00","CARMEM APARECIDA DE PAULA","DEACL"
"HEMATOLOGIA CLINICA II","ACL404","22","QUA 10:10-12:00","CARMEM APARECIDA DE PAULA","DEACL"
"BACTERIOLOGIA E MICOLOGIA APLICADAS","ACL405","11","QUI 14:20-17:00,SEX 10:10-11:00","LUIZ FERNANDO DE MEDEIROS TEIXEIRA","DEACL"
"TOPICOS EM ANALISES CLINICAS","ACL407","11","SEG 13:30-16:10","","DEACL"
"BIOQUIMICA CLINICA I","ACL600","41","QUI 07:30-12:00","ANGELICA ALVES LIMA","DEACL"
"BIOQUIMICA CLINICA I","ACL600","42","QUI 07:30-15:10","ANGELICA ALVES LIMA","DEACL"
"BIOQUIMICA CLINICA I","ACL600","43","QUI 07:30-17:00","ANGELICA ALVES LIMA","DEACL"
"BIOQUIMICA CLINICA I","ACL600","44","QUI 07:30-18:50","ANGELICA ALVES LIMA","DEACL"
"IMUNOLOGIA E VIROLOGIA CLINICA","ACL602","31","SEG 10:10-12:00,TER 15:20-16:10","SIMONE APARECIDA REZENDE","DEACL"
"IMUNOLOGIA E VIROLOGIA CLINICA","ACL602","32","SEG 10:10-12:00,TER 16:10-17:00","","DEACL"
